Ctrl+Shift+Alt+Q,InstrumentaKeysEditor
Ctrl+Shift+Alt+S,ObjectsSwapPosition
Ctrl+Shift+Alt+L,ObjectsAlignLefts
Ctrl+Shift+Alt+T,ObjectsAlignTops
Ctrl+Shift+Alt+R,ObjectsAlignRights
Ctrl+Shift+Alt+B,ObjectsAlignBottoms
Ctrl+Shift+Alt+E,ObjectsAlignCenters
Ctrl+Shift+Alt+Z,ObjectsAlignMiddles
Ctrl+Shift+Alt+H,Z
Ctrl+Shift+Alt+Y,ObjectsDistributeVertically
Ctrl+Alt+Left,MoveTableColumnLeft
Ctrl+Alt+Right,MoveTableColumnRight
Ctrl+Alt+Up,MoveTableRowUp
Ctrl+Alt+Down,MoveTableRowDown
Alt+Q,GenerateStickyNote
